source,dataset,method,precision_pct,recall_pct,f1_pct,time_s
SVDB,858,MTGFlow,93.2,63.2,75.4,197
SVDB,858,GCAD,92.7,58.5,71.7,143
SVDB,858,STAMP,96.3,64.2,77,44
SVDB,858,DAMP,95.2,62.7,75.6,56
SVDB,858,Ours,97.4,72.2,82.9,137
SVDB,864,k-means,61.3,59.4,60.3,16
SVDB,864,OCSVM,59.3,56.4,57.8,15
SVDB,864,MAD-GAN,67.5,64.3,65.9,25
SVDB,864,OmniAnomaly,79.8,77.3,78.5,180
SVDB,864,USAD,63.7,58.1,60.8,78
SVDB,864,GDN,80.5,88.5,84.3,24
SVDB,864,AT,82.4,84.1,83.2,237
SVDB,864,TranAD,83.7,82.1,82.9,20
SVDB,864,FuSAGNet,66.3,60.7,63.4,432
SVDB,864,MTGFlow,78.4,78.1,78.3,192
SVDB,864,GCAD,79.2,75.3,77.2,149
SVDB,864,STAMP,84.5,84.9,84.7,41
SVDB,864,DAMP,82.9,81.3,82.1,50
SVDB,864,Ours,89.1,88.2,88.7,123
SVDB,871,k-means,70.2,51.8,59.6,17
SVDB,871,OCSVM,67.4,52.5,59,16
SVDB,871,MAD-GAN,76.4,57.8,65.8,24
SVDB,871,OmniAnomaly,90.6,66.8,76.9,176
SVDB,871,USAD,77.4,50,60.8,80
SVDB,871,GDN,91.8,67.3,77.7,23
SVDB,871,AT,93.6,70.9,80.7,230
SVDB,871,TranAD,92.1,71.8,80.7,22
SVDB,871,FuSAGNet,79.5,48.7,60.4,449
SVDB,871,MTGFlow,89.8,65.8,76,183
SVDB,871,GCAD,89.4,61.6,73,146
SVDB,871,STAMP,93.8,70.3,80.4,38
SVDB,871,DAMP,92.6,69.2,79.2,54
SVDB,871,Ours,95.8,76.3,85,128
SVDB,872,k-means,53.6,64.7,58.6,15
SVDB,872,OCSVM,51.2,64.8,57.2,15
SVDB,872,MAD-GAN,53.7,74,62.2,26
SVDB,872,OmniAnomaly,70.4,84.7,76.9,187
SVDB,872,USAD,54.1,65.6,59.3,76
SVDB,872,GDN,72.6,88.3,79.7,25
SVDB,872,AT,74.1,91.5,81.9,243
SVDB,872,TranAD,73.8,89.7,81,21
SVDB,872,FuSAGNet,50.6,76.1,60.8,466
SVDB,872,MTGFlow,71.3,86.2,78.1,204
SVDB,872,GCAD,68.5,85.7,76.1,151
SVDB,872,STAMP,75.2,91.6,82.6,43
SVDB,872,DAMP,72.4,89.1,79.9,52
SVDB,872,Ours,79.3,93.7,85.9,131
SVDB,873,k-means,66.9,52.2,58.6,16
SVDB,873,OCSVM,71.1,49.7,58.5,16
SVDB,873,MAD-GAN,70.8,58.4,64,25
SVDB,873,OmniAnomaly,87.3,72.3,79.1,182
SVDB,873,USAD,71.8,53.2,61.1,81
SVDB,873,GDN,88.9,70.4,78.6,24
SVDB,873,AT,90.8,74.2,81.7,221
SVDB,873,TranAD,90.3,75.9,82.5,23
SVDB,873,FuSAGNet,73.4,54,62.3,439
SVDB,873,MTGFlow,86.5,72.7,79,189
SVDB,873,GCAD,85.1,69.8,76.7,144
SVDB,873,STAMP,91.2,75.8,82.8,40
SVDB,873,DAMP,89.8,74.1,81.2,49
SVDB,873,Ours,93.6,81.3,87,125
SVDB,886,k-means,70.2,50.7,58.9,18
SVDB,886,OCSVM,67.4,51.4,58.3,17
SVDB,886,MAD-GAN,76.4,56.1,64.7,25
SVDB,886,OmniAnomaly,90.6,61.4,73.2,171
SVDB,886,USAD,77.4,49,60,78
SVDB,886,GDN,91.8,68,78.1,24
SVDB,886,AT,93.6,64,76,226
SVDB,886,TranAD,92.1,70.4,79.8,21
SVDB,886,FuSAGNet,79.5,51.2,62.3,442
SVDB,886,MTGFlow,89.8,62.4,73.6,186
SVDB,886,GCAD,89.4,58.6,70.8,143
SVDB,886,STAMP,93.8,69.3,79.7,39
SVDB,886,DAMP,92.6,69.3,79.3,53
SVDB,886,Ours,95.8,74.6,83.9,128
SVDB,888,k-means,53.6,63.2,58,14
SVDB,888,OCSVM,51.2,62.8,56.4,14
SVDB,888,MAD-GAN,53.7,70.9,61.1,27
SVDB,888,OmniAnomaly,70.4,76,73.1,184
SVDB,888,USAD,54.1,63.7,58.5,74
SVDB,888,GDN,72.6,89.6,80.2,26
SVDB,888,AT,74.1,80.6,77.2,238
SVDB,888,TranAD,73.8,87.6,80.1,23
SVDB,888,FuSAGNet,50.6,82.8,62.8,471
SVDB,888,MTGFlow,71.3,80.7,75.7,201
SVDB,888,GCAD,68.5,80.5,74,154
SVDB,888,STAMP,75.2,90.2,82,41
SVDB,888,DAMP,72.4,89.4,80,54
SVDB,888,Ours,79.3,94.7,86.3,131
SVDB,894,k-means,66.9,51.2,58,17
SVDB,894,OCSVM,71.1,48.7,57.8,15
SVDB,894,MAD-GAN,70.8,56.6,62.9,24
SVDB,894,OmniAnomaly,87.3,66.4,75.4,179
SVDB,894,USAD,71.8,52,60.3,83
SVDB,894,GDN,88.9,71.1,79,23
SVDB,894,AT,90.8,66.7,76.9,225
SVDB,894,TranAD,90.3,74.4,81.6,22
SVDB,894,FuSAGNet,73.4,57,64.2,435
SVDB,894,MTGFlow,86.5,68.7,76.6,193
SVDB,894,GCAD,85.1,66.2,74.5,147
SVDB,894,STAMP,91.2,74.8,82.2,42
SVDB,894,DAMP,89.8,74.3,81.3,51
SVDB,894,Ours,93.6,80.8,86.7,125
MITDB,103,k-means,76.8,51.2,61.4,22
MITDB,103,OCSVM,82.4,54.6,65.7,20
MITDB,103,MAD-GAN,35.6,14.9,21,33
MITDB,103,OmniAnomaly,94.2,70.8,80.8,243
MITDB,103,USAD,84.3,51.8,64.1,103
MITDB,103,GDN,82.6,48.1,60.8,31
MITDB,103,AT,96.1,67.2,79.1,318
MITDB,103,TranAD,78.6,50.4,61.4,29
MITDB,103,FuSAGNet,89.2,54.3,67.5,594
MITDB,103,MTGFlow,94.1,68.3,79.1,258
MITDB,103,GCAD,95.2,66.1,78,193
MITDB,103,STAMP,86.4,55.2,67.4,54
MITDB,103,DAMP,91.7,57.4,70.6,69
MITDB,103,Ours,98.2,70.4,82,182
MITDB,111,k-means,57.4,72.1,63.9,21
MITDB,111,OCSVM,55.8,78.3,65.2,22
MITDB,111,MAD-GAN,18.4,27.9,22.2,32
MITDB,111,OmniAnomaly,77.4,88.1,82.4,259
MITDB,111,USAD,58.6,79.1,67.3,108
MITDB,111,GDN,56.3,81.6,66.6,34
MITDB,111,AT,79.3,94.2,86.1,302
MITDB,111,TranAD,55.2,79,65,31
MITDB,111,FuSAGNet,64.1,84.1,72.8,611
MITDB,111,MTGFlow,73.5,90.1,81,252
MITDB,111,GCAD,71.3,92.6,80.6,201
MITDB,111,STAMP,62.3,83,71.2,56
MITDB,111,DAMP,67.4,85.9,75.5,72
MITDB,111,Ours,82.4,95.1,88.3,176
MITDB,115,k-means,81.5,48.8,61,23
MITDB,115,OCSVM,79.6,59.1,67.9,21
MITDB,115,MAD-GAN,42.1,13.9,20.9,35
MITDB,115,OmniAnomaly,91.8,67.4,77.7,251
MITDB,115,USAD,88.7,48.3,62.6,105
MITDB,115,GDN,90.2,52.7,66.6,33
MITDB,115,AT,94.8,74.1,83.2,326
MITDB,115,TranAD,86.4,48.8,62.4,30
MITDB,115,FuSAGNet,92.6,55.8,69.7,602
MITDB,115,MTGFlow,91.7,70.4,79.7,266
MITDB,115,GCAD,94.3,78.2,85.5,198
MITDB,115,STAMP,90.1,58.8,71.1,55
MITDB,115,DAMP,93.6,59.9,73,71
MITDB,115,Ours,97.1,82.5,89.2,185
MITDB,117,k-means,63.2,80,70.6,22
MITDB,117,OCSVM,68.3,71.4,69.8,20
MITDB,117,MAD-GAN,29.3,23.5,26.1,34
MITDB,117,OmniAnomaly,83.6,93.8,88.4,246
MITDB,117,USAD,71.4,90.7,79.9,101
MITDB,117,GDN,72.1,77.9,74.9,32
MITDB,117,AT,93.2,95,94.1,311
MITDB,117,TranAD,72.8,85.9,78.8,28
MITDB,117,FuSAGNet,87.3,91.6,89.4,587
MITDB,117,MTGFlow,95.6,90.3,92.9,261
MITDB,117,GCAD,91.6,95.1,93.3,190
MITDB,117,STAMP,77.2,86.4,81.6,53
MITDB,117,DAMP,80.2,87.7,83.8,67
MITDB,117,Ours,96.3,97.2,96.7,179
Daphnet,S08R01E2,k-means,62,39.3,48.1,2.8
Daphnet,S08R01E2,OCSVM,58.9,32.8,42.1,2.7
Daphnet,S08R01E2,MAD-GAN,72.9,44.2,55,4.5
Daphnet,S08R01E2,OmniAnomaly,79.2,58.5,67.3,30.1
Daphnet,S08R01E2,USAD,55,79.1,64.9,13.2
Daphnet,S08R01E2,GDN,67.7,43.1,52.7,4.4
Daphnet,S08R01E2,AT,59.3,63.7,61.4,36.4
Daphnet,S08R01E2,TranAD,50.7,82.5,62.8,3.5
Daphnet,S08R01E2,FuSAGNet,78.2,47.4,59,73
Daphnet,S08R01E2,MTGFlow,75.1,65.2,69.8,35.1
Daphnet,S08R01E2,GCAD,68.3,60.4,64.1,26.1
Daphnet,S08R01E2,STAMP,64.7,50.1,56.5,6.5
Daphnet,S08R01E2,DAMP,51,42.9,46.6,8.1
Daphnet,S08R01E2,Ours,72.9,65.7,69.1,21.4
Daphnet,S09R01E0,k-means,58.8,41,48.3,2.8
Daphnet,S09R01E0,OCSVM,49.4,29.8,37.2,2.6
Daphnet,S09R01E0,MAD-GAN,77.6,43.4,55.7,4.2
Daphnet,S09R01E0,OmniAnomaly,78.7,51.3,62.1,31.8
Daphnet,S09R01E0,USAD,56.7,75.3,64.7,14.1
Daphnet,S09R01E0,GDN,76.7,49.7,60.3,3.8
Daphnet,S09R01E0,AT,65.4,66.4,65.9,39.5
Daphnet,S09R01E0,TranAD,53.5,87.8,66.5,3.8
Daphnet,S09R01E0,FuSAGNet,75,47.8,58.4,74.5
Daphnet,S09R01E0,MTGFlow,69.4,58.2,63.3,29.9
Daphnet,S09R01E0,GCAD,68,58.3,62.8,25.8
Daphnet,S09R01E0,STAMP,50.7,40.6,45.1,7.3
Daphnet,S09R01E0,DAMP,53.5,42.4,47.3,8.4
Daphnet,S09R01E0,Ours,71.9,60.5,65.7,20.8
Daphnet,S09R01E4,k-means,57.8,33.2,42.2,2.6
Daphnet,S09R01E4,OCSVM,52.7,32.4,40.1,2.4
Daphnet,S09R01E4,MAD-GAN,78.2,46.7,58.5,4.6
Daphnet,S09R01E4,OmniAnomaly,84.1,54.2,65.9,29.5
Daphnet,S09R01E4,USAD,51.8,73.9,60.9,12.7
Daphnet,S09R01E4,GDN,76.8,47.8,58.9,3.7
Daphnet,S09R01E4,AT,62.9,62.9,62.9,38.2
Daphnet,S09R01E4,TranAD,52.2,81.4,63.6,3.8
Daphnet,S09R01E4,FuSAGNet,78.6,50.8,61.7,81.5
Daphnet,S09R01E4,MTGFlow,74.3,65.6,69.7,29.1
Daphnet,S09R01E4,GCAD,71.8,60.6,65.7,26.3
Daphnet,S09R01E4,STAMP,61,47.2,53.2,7.1
Daphnet,S09R01E4,DAMP,54.3,43,48,9.5
Daphnet,S09R01E4,Ours,64.4,63.8,64.1,24.5
